doc_id;keywords
1010;c('\\brisk\\b', '\\bmanagement\\b', '\\bstewardship\\b', '\\bappetite\\b', '\\bopportunities\\b', '\\bopportunity\\b', '\\bboard\\b', '\\brespone\\b', '\\bintegrate\\b', '\\bboardcentr\\b', '\\bcouncil\\b', '\\bcybersecurity\\b', '\\bemergency\\b', '\\bintelligence\\b', '\\bintegrat\\b', '\\bresilience\\b', '\\bresponsibility\\b')
1011;c('\\ballocation\\b', '\\bacquisition\\b', '\\bdivestment\\b', '\\bgauge\\b', '\\beconomic\\b', '\\bcapital\\b')
1012;c('\\bscope\\b', '\\bemission\\b', '\\bghg\\b', '\\blowcarbon\\b', '\\bcarbon\\b', '\\bgreenhouse\\b', '\\btransition\\b', '\\bprotocol\\b', '\\bclimate\\b', '\\bdioxide\\b', '\\bfgase\\b', '\\bgase\\b', '\\bmethane\\b', '\\bnitrous\\b', '\\bris\\b', '\\btcoe\\b', '\\btemperature\\b', '\\boxide\\b', '\\btonne\\b', '\\bgreen\\b', '\\bhouse\\b', '\\bgas\\b')
1013;c('\\btcfd\\b', '\\btcf\\b', '\\btarget\\b', '\\bclimate\\b', '\\bimplementation\\b', '\\bframework\\b', '\\bclimaterelated\\b', '\\bemission\\b', '\\bcdsb\\b', '\\bwarming\\b', '\\bghg\\b', '\\bclimaterelate\\b', '\\bprosperity\\b', '\\bnetzero\\b', '\\bparis\\b')
1014;c('\\bparis\\b', '\\bagreement\\b', '\\bgoal\\b', '\\bclimate\\b', '\\bemission\\b', '\\bwarming\\b', '\\bghg\\b', '\\bnetzero\\b', '\\bparisalign\\b', '\\bgas\\b', '\\btemperature\\b', '\\beffect\\b', '\\bgreenhouse\\b')
1015;c('\\bcarbon\\b', '\\bghg\\b', '\\bimpact\\b', '\\bepa\\b', '\\benvironmental\\b', '\\bcost\\b', '\\bemission\\b', '\\bprotocol\\b', '\\bgas\\b', '\\bgreenhouse\\b', '\\bclimate\\b')
1016;c('\\bbiodiversity\\b', '\\bkba\\b', '\\bprotect\\b', '\\bareas\\b', '\\becological\\b', '\\bhectare\\b', '\\blease\\b', '\\bowne\\b', '\\bpersistence\\b', '\\bprotection\\b', '\\barea\\b', '\\bland\\b', '\\bstewardship\\b', '\\bnature\\b', '\\bloss\\b')
1017;c('\\bland\\b', '\\bcommodity\\b', '\\bmass\\b', '\\bproduction\\b', '\\bcertification\\b', '\\banimal\\b', '\\bmineral\\b', '\\bsustainable\\b', '\\bforestry\\b', '\\bplant\\b', '\\bagricultural\\b', '\\bconversion\\b', '\\becosystems\\b', '\\becosystem\\b', '\\bsupply\\b', '\\bagriculture\\b', '\\bmine\\b', '\\bmining\\b', '\\bsupplychain\\b', '\\barea\\b', '\\boperation\\b', '\\becological\\b', '\\blocation\\b', '\\bloss\\b')
1018;c('\\bconversion\\b', '\\bland\\b', '\\bimpact\\b', '\\becosystem\\b', '\\benvironmental\\b', '\\bvaluation\\b', '\\biso\\b', '\\balliance\\b', '\\bnature\\b', '\\bnatural\\b', '\\bprotocol\\b', '\\bscale\\b', '\\bchain\\b', '\\bsupplychain\\b', '\\bsupply\\b', '\\barea\\b')
1019;c('\\bwater\\b', '\\bwaterstressed\\b', '\\bconsumption\\b', '\\bwithdrawal\\b', '\\baqueduct\\b', '\\batlas\\b', '\\bmegalitre\\b', '\\bconsume\\b', '\\bdisruption\\b', '\\bshutdown\\b', '\\bconsume\\b', '\\bsorgaqueduct\\b', '\\bstress\\b', '\\bwithdraw\\b', '\\bwri\\b', '\\bdownstream\\b', '\\bfreshwater\\b')
1020;c('\\bconsumption\\b', '\\bwithdrawal\\b', '\\bfreshwater\\b', '\\bimpact\\b', '\\bfreshwate\\b', '\\benvironmental\\b', '\\biso\\b', '\\bmonetary\\b', '\\bavailability\\b', '\\bnatural\\b', '\\bchain\\b', '\\bsupply\\b', '\\bsupplychain\\b')
1021;c('\\bair\\b', '\\bpollution\\b', '\\bpopulated\\b', '\\boxide\\b', '\\bparticulate\\b', '\\bemission\\b', '\\bmatter\\b', '\\bnitrogen\\b', '\\bambient\\b', '\\bconcentration\\b', '\\bdeath\\b', '\\bharmful\\b', '\\billhealth\\b', '\\bchain\\b', '\\bsupply\\b', '\\bsupplychain\\b')
1022;c('\\bair\\b', '\\bpollution\\b', '\\boxide\\b', '\\bimpact\\b', '\\bsox\\b', '\\benvironmental\\b', '\\bvaluation\\b', '\\bparticulate\\b', '\\bmonetary\\b', '\\bmatter\\b', '\\bnitrogen\\b', '\\balliance\\b', '\\bemission\\b', '\\bnatural\\b')
1023;c('\\bagricultural\\b', '\\bpotassium\\b', '\\bnitrogen\\b', '\\bforestry\\b', '\\bnutrient\\b', '\\bphosphorous\\b', '\\bphosphorus\\b', '\\becological\\b', '\\benvironment\\b', '\\bbioavailable\\b', '\\bbiogeochemical\\b', '\\bdead\\b', '\\bfertilizer\\b', '\\boceanic\\b', '\\bplanetary\\b', '\\bcn\\b', '\\bconsum\\b', '\\becosystems\\b', '\\bsupply\\b', '\\bfreshwater\\b', '\\btonne\\b', '\\bwater\\b', '\\bhealth\\b', '\\bpollution\\b', '\\bsupplier\\b')
1024;c('\\bwater\\b', '\\bpollution\\b', '\\bimpact\\b', '\\bmetal\\b', '\\btoxin\\b', '\\benvironmental\\b', '\\bnutrient\\b', '\\bmonetary\\b', '\\bnatural\\b')
1025;c('\\bsingleuse\\b', '\\bplastic\\b', '\\bplastics\\b', '\\bwaste\\b', '\\bsolid\\b', '\\bwaste\\b', '\\bexposure\\b', '\\bchain\\b')
1026;c('\\bwaste\\b', '\\bsolid\\b', '\\bdisposal\\b', '\\bstream\\b', '\\benvironmental\\b', '\\bplastic\\b', '\\bmonetary\\b', '\\bchain\\b')
1027;c('\\bcircular\\b', '\\bcircularity\\b', '\\bresource\\b', '\\binflow\\b', '\\boutflow\\b', '\\bwbcsd\\b', '\\brenewable\\b', '\\bwbcs\\b')
1028;c('\\bage\\b', '\\bdiversity\\b', '\\binclusion\\b', '\\bethnicity\\b', '\\bgender\\b', '\\bdiverse\\b', '\\bempower\\b', '\\bethniccultural\\b', '\\bdisparity\\b', '\\bsatisfaction\\b', '\\brace\\b', '\\borigin\\b', '\\borientation\\b', '\\bworkforce\\b', '\\bculture\\b', '\\bperformance\\b', '\\bequality\\b', '\\bdignity\\b')
1029;c('\\bethnic\\b', '\\bminor\\b', '\\bequality\\b', '\\bpay\\b', '\\bdiversity\\b', '\\bequal\\b', '\\bremuneration\\b', '\\bcolour\\b', '\\bcompetitiveness\\b', '\\bcree\\b', '\\bgaps\\b', '\\bimbalance\\b', '\\bgap\\b', '\\bdisparity\\b', '\\bman\\b', '\\bwoman\\b', '\\bracial\\b', '\\bsalary\\b', '\\bdiscrimination\\b', '\\binclusion\\b', '\\breligion\\b', '\\bgender\\b', '\\bculture\\b', '\\bequality\\b', '\\bdignity\\b')
1030;c('\\bcompensation\\b', '\\bceo\\b', '\\bwage\\b', '\\bratio\\b', '\\bfair\\b', '\\bgender\\b', '\\binequality\\b', '\\bemployee\\b', '\\bcircumstance\\b', '\\bcompensate\\b', '\\bmiddleincome\\b', '\\bpopulation\\b', '\\btax\\b', '\\btopmanagement\\b', '\\bpay\\b', '\\bbenefits\\b', '\\bhighestpaid\\b', '\\bpayroll\\b', '\\bexecutive\\b', '\\bgap\\b', '\\bwellbeing\\b', '\\bpoverty\\b', '\\bworkforce\\b', '\\bdevelopment\\b', '\\bdignity\\b', '\\bequality\\b')
1031;c('\\blabour\\b', '\\bchild\\b', '\\bforce\\b', '\\bincident\\b', '\\btraffic\\b', '\\bhuman\\b', '\\bhindrance\\b', '\\bpoverty\\b', '\\bequality\\b', '\\bdignity\\b')
1032;c('\\bgap\\b', '\\bhighestpaid\\b', '\\bpay\\b', '\\bnonbame\\b', '\\bcompensation\\b', '\\bbame\\b', '\\bethnicity\\b', '\\bwoman\\b', '\\bgender\\b', '\\bethnic\\b', '\\binequality\\b', '\\bratio\\b', '\\bcharter\\b', '\\bdisadvantage\\b', '\\bdisadvantaged\\b', '\\bdistribute\\b', '\\bearn\\b', '\\bmigrant\\b', '\\bminority\\b', '\\bpoor\\b', '\\bunderrepresenation\\b', '\\bsalary\\b', '\\bpersonnel\\b', '\\bman\\b', '\\bequality\\b', '\\bdignity\\b', '\\bdiscirmination\\b', '\\bqualification\\b', '\\bremuneartion\\b', '\\bdiversity\\b', '\\btalent\\b')
1033;c('\\bharassment\\b', '\\bdiscrimination\\b', '\\bincident\\b', '\\bviolation\\b', '\\bmonetary\\b', '\\bbully\\b', '\\bcolor\\b', '\\bcourtesy\\b', '\\bfairly\\b', '\\bmerit\\b', '\\bopinion\\b', '\\bpolitical\\b', '\\bprofessionalism\\b', '\\blegal\\b', '\\bculture\\b', '\\brace\\b', '\\bremediation\\b', '\\binequality\\b', '\\breligion\\b', '\\bworkploce\\b', '\\bdignity\\b', '\\bequality\\b')
1034;c('\\bbargaining\\b', '\\bcollective\\b', '\\bassociation\\b', '\\bfreedom\\b', '\\bactive\\b', '\\bdecent\\b', '\\bemploy\\b', '\\bworkforce\\b', '\\bhuman\\b', '\\bworker\\b', '\\bpersonnel\\b', '\\bremediation\\b', '\\bwage\\b', '\\bemployee\\b', '\\bequality\\b', '\\bdignity\\b')
1035;c('\\bgrievance\\b', '\\bsupplier\\b', '\\bhuman\\b', '\\blabour\\b', '\\bslavery\\b', '\\bsalient\\b', '\\bchild\\b', '\\bforce\\b', '\\bincident\\b', '\\babuse\\b', '\\bdilligence\\b', '\\bforced\\b', '\\bperpetuate\\b', '\\bhindrance\\b', '\\bmisconduct\\b', '\\bviolate\\b', '\\bdamage\\b', '\\breputation\\b', '\\bpoverty\\b', '\\bviolation\\b', '\\bmonetary\\b', '\\bequality\\b', '\\bdignity\\b')
1036;c('\\blive\\b', '\\bwage\\b', '\\bliving\\b', '\\bbenchmark\\b', '\\bhousehold\\b', '\\blocality\\b', '\\bstrike\\b', '\\bpoverty\\b', '\\bpay\\b', '\\blocation\\b', '\\bequality\\b', '\\bdignity\\b')
1037;c('\\bservice\\b', '\\binjury\\b', '\\bnonoccupational\\b', '\\bmedical\\b', '\\bworkrelate\\b', '\\bfatality\\b', '\\bhealthcare\\b', '\\bworkrelated\\b', '\\bhealth\\b', '\\bfacilitate\\b', '\\brecordable\\b', '\\bsafety\\b', '\\bhighconsequence\\b', '\\bwellbe\\b', '\\bcare\\b', '\\bclinic\\b', '\\bemotional\\b', '\\bgrowhtorient\\b', '\\bmental\\b', '\\breliant\\b', '\\bresilient\\b', '\\btreatment\\b', '\\bdisease\\b', '\\bwellbeing\\b', '\\bhuman\\b', '\\bworkforce\\b')
1038;c('\\baccident\\b', '\\boccupational\\b', '\\bcompensation\\b', '\\bincident\\b', '\\bcost\\b', '\\bmedical\\b', '\\bmonetize\\b', '\\bpayment\\b', '\\bsafe\\b', '\\binjury\\b', '\\bworkrelate\\b', '\\binjure\\b', '\\breturntowork\\b', '\\bvictim\\b', '\\binsurance\\b', '\\bhealthcare\\b', '\\billhealth\\b', '\\bwellbe\\b', '\\bwellbeing\\b', '\\bworkrelated\\b')
1039;c('\\billhealth\\b', '\\bwellbe\\b', '\\bwellbeing\\b', '\\bhealth\\b', '\\bfatality\\b', '\\brecordable\\b', '\\bworkplace\\b', '\\bhygienic\\b', '\\blifestyle\\b', '\\bdisease\\b', '\\bhealthcare\\b', '\\binjury\\b')
1040;c('\\btraining\\b', '\\beducation\\b', '\\bexpenditure\\b', '\\btraine\\b', '\\bskill\\b', '\\breskill\\b', '\\btrain\\b', '\\bdevelop\\b', '\\bcertificate\\b', '\\bcoaching\\b', '\\bcredential\\b', '\\bdegree\\b', '\\beducational\\b', '\\bindustryrelevant\\b', '\\bnurture\\b', '\\bonsite\\b', '\\bquantam\\b', '\\brecruit\\b', '\\bretain\\b', '\\bupskill\\b', '\\bvocational\\b', '\\bdevelopment\\b', '\\bcertification\\b', '\\bperformance\\b', '\\bqualification\\b', '\\btalent\\b')
1041;c('\\bskil\\b', '\\bunfilled\\b', '\\bskill\\b', '\\bposition\\b', '\\btrain\\b', '\\bcandidate\\b', '\\bunskilled\\b', '\\bhire\\b', '\\breward\\b')
1042;c('\\btraining\\b', '\\binvesmtent\\b', '\\binternal\\b', '\\bskill\\b', '\\bdevelopment\\b', '\\bhuman\\b', '\\binnovation\\b', '\\breskill\\b', '\\bcapability\\b')
